stamp,gnss_x,gnss_y,gnss_z,gnss_roll,gnss_pitch,gnss_yaw,gnss_map_vx,gnss_map_vy,gnss_map_vz,gnss_base_vx,gnss_base_vy,gnss_base_vz,gnss_status,gnss_fsm_status,gnss_original_status
1716182169.528691,1125.393643,565.049602,0.001314,0.023640,-0.005799,0.000490,1.791758,-0.011418,-0.013200,1.791754,0.000396,0.017852,1,1,1
1716182169.728707,1125.769813,565.051202,0.001501,0.022413,-0.006856,0.000191,1.946095,-0.006497,0.053800,1.944962,0.008420,0.085282,1,1,1
1716182169.928697,1126.170864,565.053772,0.001323,0.022514,-0.006663,-0.000130,2.071354,0.012412,-0.004600,2.071012,0.027577,0.028881,1,1,1
1716182170.128706,1126.596762,565.055911,0.002256,0.022405,-0.007353,-0.000101,2.178791,-0.004536,0.004200,2.178432,0.011526,0.038309,1,1,1
1716182170.328702,1127.047932,565.061574,0.001337,0.020599,-0.008133,0.000547,2.313247,0.005131,-0.005900,2.312996,0.020457,0.028333,1,1,1
1716182170.528690,1127.523322,565.062858,0.005102,0.023303,-0.008517,0.000003,2.463621,-0.022250,0.013400,2.463257,-0.004217,0.049508,1,1,1
1716182170.728686,1128.023474,565.064086,0.003372,0.023169,-0.007495,-0.000626,2.588178,-0.010867,0.086900,2.586512,0.011444,0.127118,1,1,1
1716182170.928695,1128.550128,565.067416,0.001765,0.021376,-0.007818,-0.001167,2.699662,-0.044843,0.081100,2.698379,-0.020451,0.122854,1,1,1
1716182171.128727,1129.102018,565.069627,0.002654,0.023029,-0.007136,-0.001014,2.849299,-0.041364,-0.021100,2.849509,-0.018350,0.024897,1,1,1
1716182171.328716,1129.680117,565.069852,0.003068,0.025716,-0.005356,-0.001040,2.931020,-0.075017,0.087900,2.929491,-0.048431,0.141319,1,1,1
1716182171.528702,1130.286748,565.075905,0.002034,0.024861,-0.005335,-0.000172,3.154498,-0.041806,0.038600,3.153526,-0.017396,0.095218,1,1,1
1716182171.728693,1130.916911,565.080055,0.001571,0.025363,-0.004652,-0.000478,3.244266,0.002583,-0.032100,3.244200,0.026922,0.027220,1,1,1
1716182171.928687,1131.567085,565.083974,-0.000707,0.024581,-0.003768,0.000389,3.286679,-0.035301,0.072500,3.284818,-0.010803,0.136453,1,1,1
1716182172.128707,1132.225852,565.090372,-0.001756,0.023490,-0.003919,0.001911,3.303697,-0.048457,0.106700,3.301237,-0.028147,0.170854,1,1,1
1716182172.328727,1132.881658,565.095591,-0.001348,0.024314,-0.003555,0.002134,3.279246,-0.032224,-0.079100,3.280282,-0.017165,-0.014465,1,1,1
1716182172.528717,1133.530700,565.098037,-0.008678,0.020254,-0.001887,0.003075,3.222234,-0.020173,-0.024400,3.222080,-0.006870,0.044127,1,1,1
