stamp,optimized_pose_x,optimized_pose_y,optimized_pose_yaw
1716026930.799643,890.637403,513.121873,1.478472
1716026930.999696,890.807872,513.619053,1.425883
1716026931.199753,890.884220,514.053251,1.387721
1716026931.399775,890.973682,514.434760,1.361027
1716026931.799766,891.078058,515.394897,1.276801
1716030623.199720,881.397916,451.784958,1.263732
1716030623.399728,881.567329,452.094437,1.270231
1716030623.599758,881.608076,452.505948,1.269021
1716030623.799763,881.731797,452.901641,1.252508
1716030623.999713,881.856798,453.324358,1.253806
1716030624.199674,881.996344,453.715890,1.239061
1716030624.399647,882.277255,454.121317,1.241979
1716030624.599646,882.424624,454.551769,1.234053
1716030624.699638,882.470171,454.755728,1.223672
1716030624.899656,882.637847,455.195575,1.208366
1716030625.099696,882.818865,455.598406,1.203710
1716030625.299746,882.957504,456.048247,1.192835
1716030625.499751,883.229528,456.560833,1.178550
1716030625.699717,883.436321,456.985935,1.164960
1716030625.899667,883.666333,457.457499,1.153794
1716030626.099689,883.877237,457.928464,1.150883
1716030626.299743,884.087149,458.368267,1.156613
1716030626.499775,884.288634,458.838037,1.140797
1716030626.699787,884.505402,459.300564,1.135548
1716030626.799761,884.688388,459.505226,1.157272
1716030626.999685,884.888792,459.958266,1.138374
1716030627.199652,885.075355,460.412039,1.118359
1716030627.399649,885.325681,460.869752,1.162508
1716030627.599653,885.469039,461.329842,1.128234
1716030627.799684,885.724053,461.781452,1.133246
1716030627.999726,885.977391,462.236948,1.142168
1716030628.199715,886.195247,462.685008,1.141253
1716030628.399727,886.474198,463.118061,1.146282
1716030628.599743,886.652560,463.572240,1.107864
1716030628.799715,886.874153,464.015952,1.145206
1716030628.899736,886.988997,464.243316,1.148514
1716030629.099754,887.213349,464.676585,1.149268
1716030629.299731,887.393025,465.120935,1.157457
1716030629.499707,887.571601,465.595185,1.165061
1716030629.699701,887.827206,466.042980,1.173830
1716030629.899709,888.035451,466.495289,1.182052
1716030630.099693,888.246434,466.960080,1.193613
1716030630.299668,888.413165,467.407519,1.200052
1716030630.499724,888.615818,467.841842,1.193964
1716030630.699735,888.729917,468.263057,1.232649
1716030630.899704,888.861961,468.691247,1.220738
1716030630.999696,888.947469,468.913364,1.216973
1716030631.199710,889.126007,469.289421,1.233406
1716030631.399768,889.304483,469.747489,1.260316
1716030631.599781,889.448918,470.094275,1.272088
1716030631.799760,889.511579,470.480731,1.294201
1716030631.999727,889.664314,470.882445,1.287014
1716030632.199714,889.805966,471.257351,1.288478
1716030632.399696,889.870702,471.647695,1.287091
1716030632.599651,890.020161,471.995545,1.338601
1716030632.799638,890.145954,472.384083,1.330654
1716030632.999633,890.159911,472.766780,1.339839
1716030636.599725,890.847401,480.177024,1.601488
1716030636.799749,890.828747,480.722572,1.600115
1716030636.999754,890.814423,481.178574,1.597991
1716030637.199730,890.794265,481.803627,1.602573
1716030637.299737,890.802509,482.070335,1.602330
1716030637.499727,890.796671,482.699614,1.603529
1716030637.699714,890.788189,483.303577,1.620394
1716030637.899690,890.787155,483.995177,1.598323
1716030638.099649,890.789784,484.680812,1.591308
1716030638.299643,890.782781,485.405811,1.591390
1716030638.499685,890.771764,486.156762,1.601861
1716030638.699723,890.804527,486.932626,1.578480
1716030638.899747,890.739445,487.716495,1.598948
1716030639.099718,890.747059,488.535799,1.597922
1716030639.299717,890.750397,489.391252,1.580900
1716030639.399697,890.754182,489.825841,1.587483
1716030639.599688,890.731096,490.660760,1.563575
1716030639.799679,890.678324,491.497405,1.547350
1716030639.999674,890.676327,492.332508,1.578390
1716030640.199731,890.678206,493.180897,1.571943
1716030640.399773,890.515062,493.981832,1.599583
1716030640.599797,890.518036,494.844189,1.591054
1716030640.799792,890.535066,495.632492,1.598558
1716030640.999747,890.526872,496.467297,1.587160
1716030641.199643,890.557027,497.320259,1.573657
1716030641.399593,890.530576,498.186029,1.591291
1716030641.499595,890.522051,498.641576,1.592707
1716030641.699642,890.519104,499.343828,1.610616
1716030641.899678,890.455842,500.152888,1.591055
1716030642.099699,890.452515,500.947304,1.599270
1716030642.299657,890.466141,501.643873,1.586211
1716030642.499615,890.515442,502.432363,1.584705
1716030642.699651,890.513276,503.211245,1.578863
