stamp,container_pose_x,container_pose_y,container_pose_z,container_pose_roll,container_pose_pitch,container_pose_yaw,container_updated_pose_x,container_updated_pose_y,container_updated_pose_z,container_updated_pose_roll,container_updated_pose_pitch,container_updated_pose_yaw,qc_match_updated_k_x,qc_match_updated_k_y,b_outlier,time_length
1716206021.499754,1388.194167,325.982250,0.012164,0.031510,-0.006849,1.596220,1388.865473,325.661796,0.010435,0.031087,-0.006048,1.570635,0.150000,0.150000,0,0.031891
1716206023.599730,1387.968603,333.677388,0.009526,0.032628,-0.004283,1.600092,1388.731943,333.334687,0.007633,0.032127,-0.003434,1.573899,0.150000,0.150000,0,0.028049
1716206023.799752,1387.928757,334.478324,0.009026,0.031777,-0.004607,1.600856,1388.616538,334.151851,0.007169,0.031282,-0.003777,1.574557,0.150000,0.150000,0,0.031537
1716206024.299673,1388.036767,336.371056,0.004405,0.029640,-0.003233,1.602485,1388.539680,336.062090,0.002472,0.029074,-0.002408,1.574403,0.150000,0.150000,0,0.028804
1716206024.499676,1388.027346,337.160055,0.006056,0.030735,-0.003471,1.601981,1388.473961,336.853533,0.004081,0.030174,-0.002615,1.573866,0.150000,0.150000,0,0.030836
1716206024.699657,1388.028402,337.796464,0.006756,0.030327,-0.004236,1.600752,1388.418002,337.617671,0.004893,0.029809,-0.003422,1.573659,0.150000,0.150000,0,0.029041
1716206025.699735,1387.924845,341.209172,0.010227,0.030023,-0.006724,1.601488,1388.381267,341.074199,0.008383,0.029553,-0.005884,1.573304,0.150000,0.150000,0,0.032863
1716206026.099760,1387.976795,342.375471,0.001936,0.024545,-0.005513,1.601288,1388.347644,342.218090,0.000325,0.024053,-0.004841,1.573653,0.150000,0.150000,0,0.032276
1716206026.399743,1387.959320,343.145440,0.001961,0.023767,-0.006123,1.601799,1388.321255,342.986726,0.000417,0.023297,-0.005478,1.574412,0.150000,0.150000,0,0.031946
1716206026.799706,1388.004413,343.928535,-0.002029,0.021018,-0.005626,1.599716,1388.313063,343.834773,-0.003434,0.020548,-0.005071,1.573045,0.150000,0.150000,0,0.031405
1716206026.999684,1387.995776,344.240408,-0.002560,0.020502,-0.005674,1.600606,1388.285296,344.201009,-0.003999,0.020013,-0.005111,1.572835,0.150000,0.150000,0,0.034809
1716206027.199680,1388.013005,344.512317,-0.003337,0.020257,-0.005356,1.600277,1388.260805,344.516309,-0.004762,0.019765,-0.004805,1.572763,0.150000,0.150000,0,0.034682
1716206027.599761,1388.044891,344.997569,-0.003437,0.020144,-0.005377,1.599773,1388.251869,345.031343,-0.004831,0.019661,-0.004839,1.572747,0.150000,0.150000,0,0.036800
1716206027.799747,1388.055372,345.301253,-0.002052,0.020149,-0.006273,1.599795,1388.237711,345.309689,-0.003431,0.019686,-0.005730,1.572518,0.150000,0.150000,0,0.034263
1716206028.399683,1388.035780,346.421962,-0.000494,0.022491,-0.005500,1.601111,1388.251519,346.407070,-0.002025,0.021997,-0.004882,1.573325,0.150000,0.150000,0,0.036620
1716206032.699734,1388.043974,346.986615,0.000509,0.023037,-0.005735,1.601085,1388.289177,346.972235,-0.001066,0.022541,-0.005090,1.572795,0.150000,0.150000,0,0.038538
1716206034.299704,1388.056255,346.995895,0.000402,0.022980,-0.005710,1.601237,1388.280969,346.968057,-0.001190,0.022476,-0.005059,1.572605,0.150000,0.150000,0,0.037464
1716206035.799752,1388.213629,346.961715,0.000388,0.022920,-0.005746,1.601053,1388.288911,346.961861,-0.001201,0.022418,-0.005097,1.572426,0.150000,0.150000,0,0.035812
1716206035.999757,1388.134328,347.011718,0.000376,0.022891,-0.005761,1.601175,1388.275192,346.971910,-0.001216,0.022387,-0.005110,1.572440,0.150000,0.150000,0,0.038386
1716206036.199724,1388.123820,347.014514,0.000336,0.022903,-0.005726,1.601206,1388.259864,346.982769,-0.001260,0.022397,-0.005074,1.572428,0.150000,0.150000,0,0.035178
1716206036.399673,1388.120314,347.012733,0.000298,0.022876,-0.005721,1.601229,1388.246587,346.991450,-0.001299,0.022370,-0.005069,1.572425,0.150000,0.150000,0,0.038306
1716206036.599675,1388.113984,346.995959,0.000341,0.022890,-0.005738,1.601362,1388.235142,346.995734,-0.001264,0.022382,-0.005083,1.572420,0.150000,0.150000,0,0.037392
1716206036.799710,1388.096757,346.996459,0.000343,0.022893,-0.005738,1.601116,1388.223566,346.998823,-0.001249,0.022389,-0.005087,1.572407,0.150000,0.150000,0,0.041359
1716206036.899708,1388.092033,346.996556,0.000353,0.022892,-0.005745,1.601105,1388.211947,347.002283,-0.001237,0.022389,-0.005095,1.572421,0.150000,0.150000,0,0.036447
1716206037.099675,1388.091262,346.996706,0.000379,0.022897,-0.005758,1.601165,1388.204538,347.003078,-0.001213,0.022393,-0.005108,1.572436,0.150000,0.150000,0,0.041256
1716206037.299729,1388.088823,347.000452,0.000349,0.022888,-0.005745,1.600908,1388.194789,347.006837,-0.001230,0.022388,-0.005100,1.572432,0.150000,0.150000,0,0.037755
1716206037.499795,1388.093039,347.024127,0.000321,0.022894,-0.005722,1.600963,1388.187319,347.013462,-0.001262,0.022393,-0.005076,1.572413,0.150000,0.150000,0,0.039015
1716206037.699804,1388.109905,346.998485,0.000330,0.022890,-0.005731,1.600877,1388.184209,347.014589,-0.001249,0.022390,-0.005087,1.572406,0.150000,0.150000,0,0.037755
1716206037.899733,1388.112657,346.995794,0.000370,0.022907,-0.005745,1.600700,1388.182706,347.014529,-0.001200,0.022410,-0.005103,1.572381,0.150000,0.150000,0,0.036578
1716206038.099657,1388.089850,346.983447,0.000366,0.022914,-0.005737,1.600564,1388.179567,347.011053,-0.001195,0.022420,-0.005099,1.572418,0.150000,0.150000,0,0.036293
1716206038.299634,1388.105037,346.993270,0.000365,0.022912,-0.005737,1.600743,1388.177064,347.011573,-0.001208,0.022414,-0.005094,1.572394,0.150000,0.150000,0,0.037864
1716206038.499642,1388.097306,346.997266,0.000432,0.022933,-0.005765,1.601143,1388.172743,347.013639,-0.001164,0.022429,-0.005112,1.572384,0.150000,0.150000,0,0.038890
1716206038.699677,1388.084314,347.011371,0.000424,0.022924,-0.005766,1.600989,1388.167755,347.016912,-0.001163,0.022423,-0.005117,1.572372,0.150000,0.150000,0,0.040075
1716206039.199711,1388.164100,347.006345,0.000436,0.022916,-0.005781,1.601472,1388.176343,347.018523,-0.001181,0.022405,-0.005119,1.572300,0.150000,0.150000,0,0.037973
1716206039.399722,1388.081502,347.010317,0.000457,0.022924,-0.005788,1.601498,1388.169862,347.021580,-0.001162,0.022413,-0.005126,1.572294,0.150000,0.150000,0,0.038074
1716206039.599723,1388.089410,347.034392,0.000429,0.022907,-0.005783,1.600964,1388.163647,347.029228,-0.001159,0.022405,-0.005133,1.572305,0.150000,0.150000,0,0.038296
1716206039.799721,1388.065547,346.966525,0.000431,0.022913,-0.005780,1.600575,1388.158217,347.022347,-0.001135,0.022418,-0.005139,1.572319,0.150000,0.150000,0,0.038558
1716206039.999750,1388.094835,347.023348,0.000437,0.022899,-0.005794,1.600495,1388.156022,347.026782,-0.001124,0.022406,-0.005156,1.572308,0.150000,0.150000,0,0.042367
1716206040.199773,1388.099155,347.009519,0.000486,0.022921,-0.005809,1.600978,1388.155175,347.028339,-0.001104,0.022419,-0.005158,1.572273,0.150000,0.150000,0,0.041340
1716206040.399746,1388.070807,346.984898,0.000421,0.022897,-0.005785,1.600795,1388.150946,347.025285,-0.001161,0.022397,-0.005138,1.572248,0.150000,0.150000,0,0.038808
1716206040.599725,1388.089391,347.023306,0.000397,0.022881,-0.005782,1.600757,1388.150911,347.027803,-0.001184,0.022381,-0.005136,1.572218,0.150000,0.150000,0,0.036666
1716206040.799702,1388.109879,347.028632,0.000387,0.022858,-0.005793,1.600787,1388.155017,347.029694,-0.001194,0.022358,-0.005147,1.572217,0.150000,0.150000,0,0.041523
1716206040.999683,1388.123017,347.021268,0.000411,0.022871,-0.005798,1.601068,1388.157906,347.032608,-0.001187,0.022366,-0.005145,1.572207,0.150000,0.150000,0,0.042337
1716206041.099690,1388.103554,347.028879,0.000374,0.022875,-0.005771,1.600757,1388.156799,347.036699,-0.001208,0.022374,-0.005125,1.572199,0.150000,0.150000,0,0.038886
1716206041.299669,1388.095729,346.969272,0.000386,0.022881,-0.005775,1.601432,1388.155895,347.030404,-0.001234,0.022368,-0.005113,1.572177,0.150000,0.150000,0,0.036246
1716206041.499675,1388.105605,346.987960,0.000396,0.022869,-0.005790,1.601562,1388.157355,347.027264,-0.001231,0.022354,-0.005125,1.572165,0.150000,0.150000,0,0.036627
1716206041.699671,1388.114442,347.026351,0.000407,0.022874,-0.005794,1.601265,1388.160569,347.029652,-0.001204,0.022364,-0.005135,1.572166,0.150000,0.150000,0,0.037579
1716206041.899678,1388.110388,347.070016,0.000321,0.022842,-0.005761,1.600403,1388.163640,347.037068,-0.001242,0.022347,-0.005123,1.572163,0.150000,0.150000,0,0.045003
1716206042.099702,1388.071469,347.069572,0.000372,0.022865,-0.005777,1.600535,1388.157462,347.045959,-0.001200,0.022368,-0.005135,1.572143,0.150000,0.150000,0,0.040354
1716206042.299718,1388.082139,347.037728,0.000367,0.022840,-0.005794,1.601088,1388.153978,347.048715,-0.001234,0.022333,-0.005140,1.572132,0.150000,0.150000,0,0.038751
1716206042.499740,1388.099045,347.040924,0.000362,0.022833,-0.005795,1.600783,1388.154241,347.050775,-0.001223,0.022331,-0.005148,1.572122,0.150000,0.150000,0,0.038891
1716206042.699732,1388.095209,347.058469,0.000380,0.022825,-0.005813,1.600806,1388.154663,347.054503,-0.001205,0.022324,-0.005165,1.572106,0.150000,0.150000,0,0.039087
1716206042.899717,1388.090866,347.062297,0.000236,0.022760,-0.005769,1.599793,1388.155178,347.057014,-0.001292,0.022275,-0.005146,1.572122,0.150000,0.150000,0,0.040436
1716206043.099705,1388.112175,347.069582,0.000239,0.022749,-0.005780,1.599562,1388.156096,347.062749,-0.001276,0.022268,-0.005162,1.572108,0.150000,0.150000,0,0.039917
1716206043.199697,1388.089095,347.066750,0.000214,0.022752,-0.005761,1.599054,1388.152710,347.067669,-0.001274,0.022280,-0.005154,1.572105,0.150000,0.150000,0,0.039337
1716206043.399676,1388.088228,347.068370,0.000217,0.022755,-0.005761,1.599144,1388.150746,347.071065,-0.001277,0.022281,-0.005152,1.572094,0.150000,0.150000,0,0.040577
1716206043.599696,1388.106035,347.070458,0.000195,0.022742,-0.005756,1.599299,1388.152445,347.073673,-0.001308,0.022265,-0.005143,1.572080,0.150000,0.150000,0,0.038451
1716206043.799703,1388.101302,347.070999,0.000190,0.022731,-0.005761,1.599343,1388.153924,347.075325,-0.001315,0.022254,-0.005147,1.572065,0.150000,0.150000,0,0.040258
1716206043.999746,1388.103166,347.067735,0.000146,0.022698,-0.005758,1.599140,1388.156578,347.075146,-0.001346,0.022224,-0.005150,1.572069,0.150000,0.150000,0,0.042366
1716206044.199768,1388.088344,347.065780,0.000158,0.022701,-0.005764,1.599097,1388.153704,347.077459,-0.001332,0.022228,-0.005156,1.572059,0.150000,0.150000,0,0.049964
1716206044.399755,1388.099813,347.066167,0.000202,0.022717,-0.005780,1.599260,1388.153095,347.079471,-0.001298,0.022241,-0.005168,1.572046,0.150000,0.150000,0,0.042591
1716206044.599732,1388.079179,347.066816,0.000236,0.022726,-0.005796,1.599222,1388.150153,347.080685,-0.001263,0.022250,-0.005184,1.572025,0.150000,0.150000,0,0.041752
1716206044.799714,1388.086474,347.077983,0.000210,0.022700,-0.005798,1.598866,1388.149372,347.082731,-0.001270,0.022231,-0.005194,1.572001,0.150000,0.150000,0,0.041450
1716206044.999714,1388.113719,347.072921,0.000180,0.022717,-0.005766,1.599054,1388.154268,347.082128,-0.001310,0.022244,-0.005159,1.572040,0.150000,0.150000,0,0.043764
1716206045.199699,1388.109677,347.067210,0.000157,0.022725,-0.005744,1.599095,1388.155799,347.082793,-0.001338,0.022250,-0.005135,1.572010,0.150000,0.150000,0,0.040443
1716206045.299693,1388.089460,347.073715,0.000131,0.022702,-0.005746,1.599084,1388.152524,347.085801,-0.001362,0.022227,-0.005137,1.572001,0.150000,0.150000,0,0.041724
1716206045.499700,1388.105339,347.073283,0.000125,0.022690,-0.005751,1.599031,1388.152877,347.087506,-0.001366,0.022216,-0.005143,1.571978,0.150000,0.150000,0,0.040338
1716206045.699683,1388.110400,347.075776,0.000166,0.022714,-0.005759,1.598959,1388.154581,347.088685,-0.001323,0.022241,-0.005152,1.571955,0.150000,0.150000,0,0.040442
1716206045.899698,1388.107262,347.074712,0.000135,0.022697,-0.005752,1.599200,1388.156339,347.088920,-0.001368,0.022219,-0.005140,1.571938,0.150000,0.150000,0,0.042003
1716206046.099719,1388.108999,347.069283,0.000160,0.022696,-0.005769,1.599136,1388.159607,347.086723,-0.001337,0.022220,-0.005159,1.571972,0.150000,0.150000,0,0.042840
1716206046.299726,1388.109076,347.067112,0.000147,0.022688,-0.005766,1.599120,1388.160299,347.086643,-0.001350,0.022212,-0.005156,1.571959,0.150000,0.150000,0,0.039367
